region,iso3
R5OECD90+EU,CAN
R5OECD90+EU,JPN
R5OECD90+EU,NZL
R5ASIA,CHN
R5ASIA,HKG
R5ASIA,MAC
R5ASIA,TWN
R5ASIA,ASM
R5ASIA,BRN
R5ASIA,CCK
R5ASIA,FJI
R5ASIA,FSM
R5ASIA,GUM
R5ASIA,IDN
R5ASIA,KHM
R5ASIA,KIR
R5ASIA,PRK
R5ASIA,LAO
R5ASIA,MHL
R5ASIA,MMR
R5ASIA,MNG
R5ASIA,MNP
R5ASIA,MYS
R5ASIA,NCL
R5ASIA,PHL
R5ASIA,PLW
R5ASIA,PNG
R5ASIA,PYF
R5ASIA,SGP
R5ASIA,SLB
R5ASIA,THA
R5ASIA,TLS
R5ASIA,TON
R5ASIA,VNM
R5ASIA,VUT
R5ASIA,WSM
R5OECD90+EU,AUS
R5OECD90+EU,KOR
R5OECD90+EU,ZAF
R5LAM,ABW
R5LAM,AIA
R5LAM,ARG
R5LAM,ATG
R5LAM,BES
R5LAM,BHS
R5LAM,BLM
R5LAM,BLZ
R5LAM,BOL
R5LAM,BRA
R5LAM,BRB
R5LAM,CHL
R5LAM,COL
R5LAM,CRI
R5LAM,CUB
R5LAM,CUW
R5LAM,CYM
R5LAM,DMA
R5LAM,DOM
R5LAM,ECU
R5LAM,FLK
R5LAM,GLP
R5LAM,GRD
R5LAM,GTM
R5LAM,GUF
R5LAM,GUY
R5LAM,HND
R5LAM,HTI
R5LAM,JAM
R5LAM,KNA
R5LAM,LCA
R5LAM,MAF
R5LAM,MEX
R5LAM,MSR
R5LAM,MTQ
R5LAM,NIC
R5LAM,PAN
R5LAM,PER
R5LAM,PRI
R5LAM,PRY
R5LAM,SLV
R5LAM,SUR
R5LAM,SXM
R5LAM,TTO
R5LAM,URY
R5LAM,VCT
R5LAM,VEN
R5ASIA,IND
R5MAF,ARE
R5MAF,BHR
R5MAF,DJI
R5MAF,DZA
R5MAF,EGY
R5MAF,ESH
R5MAF,IRN
R5MAF,IRQ
R5MAF,ISR
R5MAF,JOR
R5MAF,KWT
R5MAF,LBN
R5MAF,LBY
R5MAF,MAR
R5MAF,OMN
R5MAF,PSE
R5MAF,QAT
R5MAF,SAU
R5MAF,SYR
R5MAF,TUN
R5MAF,YEM
R5REF,BGR
R5REF,CYP
R5REF,CZE
R5REF,EST
R5REF,KSV
R5REF,HUN
R5REF,LTU
R5REF,LVA
R5REF,POL
R5REF,ROU
R5REF,SVK
R5REF,SVN
R5REF,MLT
R5REF,HRV
R5OECD90+EU,AUT
R5OECD90+EU,BEL
R5OECD90+EU,DEU
R5OECD90+EU,DNK
R5OECD90+EU,ESP
R5OECD90+EU,FIN
R5OECD90+EU,FRA
R5OECD90+EU,GBR
R5OECD90+EU,GRC
R5OECD90+EU,IRL
R5OECD90+EU,ITA
R5OECD90+EU,LUX
R5OECD90+EU,NLD
R5OECD90+EU,PRT
R5OECD90+EU,SWE
R5OECD90+EU,LIE
R5OECD90+EU,NOR
R5OECD90+EU,CHE
R5OECD90+EU,GRL
R5OECD90+EU,ISL
R5OECD90+EU,FRO
R5OECD90+EU,ALA
R5OECD90+EU,AND
R5OECD90+EU,GGY
R5OECD90+EU,GIB
R5OECD90+EU,IMN
R5OECD90+EU,JEY
R5OECD90+EU,MCO
R5OECD90+EU,SJM
R5OECD90+EU,SMR
R5OECD90+EU,VAT
R5OECD90+EU,SPM
R5ASIA,AFG
R5ASIA,BGD
R5ASIA,BTN
R5ASIA,LKA
R5ASIA,MDV
R5ASIA,NPL
R5ASIA,PAK
R5MAF,AGO
R5MAF,BEN
R5MAF,BWA
R5MAF,BFA
R5MAF,BDI
R5MAF,CMR
R5MAF,CPV
R5MAF,CAF
R5MAF,TCD
R5MAF,COM
R5MAF,COG
R5MAF,COD
R5MAF,CIV
R5MAF,GNQ
R5MAF,ERI
R5MAF,ETH
R5MAF,GAB
R5MAF,GMB
R5MAF,GHA
R5MAF,GIN
R5MAF,GNB
R5MAF,KEN
R5MAF,LSO
R5MAF,LBR
R5MAF,MDG
R5MAF,MWI
R5MAF,MLI
R5MAF,MRT
R5MAF,MUS
R5MAF,MYT
R5MAF,MOZ
R5MAF,NAM
R5MAF,NER
R5MAF,NGA
R5MAF,REU
R5MAF,RWA
R5MAF,SAH
R5MAF,STP
R5MAF,SEN
R5MAF,SYC
R5MAF,SHN
R5MAF,SLE
R5MAF,SOM
R5MAF,SSD
R5MAF,SDS
R5MAF,SDN
R5MAF,SWZ
R5MAF,TZA
R5MAF,TGO
R5MAF,UGA
R5MAF,ZMB
R5MAF,ZWE
R5REF,ALB
R5REF,ARM
R5REF,AZE
R5REF,BLR
R5REF,BIH
R5REF,GEO
R5REF,KAZ
R5REF,KGZ
R5REF,MKD
R5REF,MDA
R5REF,MNE
R5REF,RUS
R5REF,SRB
R5REF,TJK
R5REF,TUR
R5REF,TKM
R5REF,UKR
R5REF,UZB
R5OECD90+EU,USA
R5OECD90+EU,CXR
R5LAM,ATA
R5MAF,ATF
R5LAM,BMU
R5MAF,BVT
R5OECD90+EU,COK
R5OECD90+EU,HMD
R5MAF,IOT
R5OECD90+EU,NFK
R5OECD90+EU,NIU
R5OECD90+EU,NRU
R5OECD90+EU,PCN
R5LAM,SGS
R5LAM,TCA
R5OECD90+EU,TKL
R5OECD90+EU,TUV
R5OECD90+EU,UMI
R5LAM,VGB
R5LAM,VIR
R5OECD90+EU,WLF